scale,height,width,stride_y,stride_x,radius,true_dy_feature,true_dx_feature,epe_px,zero_offset_epe_px,epe_gain_vs_zero,argmax_epe_px,pck_4px,pck_8px,confidence,entropy,true_margin,predicted_dy_px,predicted_dx_px,fusion_weight,sample,block,slice,translation,true_dy_px,true_dx_px,timestep,alpha_bar,noise_std,snr
3,16,16,32.0,32.0,1,0.0,0.25,8.48769474029541,8.0,-0.48769474029541016,9.441433906555176,0.10576923191547394,0.48076924681663513,0.3987007141113281,0.7255693674087524,0.05212721973657608,0.5449015498161316,1.8927456140518188,0.11872483789920807,0,2,0,0,0,8,10,0.9831954836845398,0.1296322348625534,58.5078121397637
0,128,128,4.0,4.0,3,0.0,2.0,6.561303615570068,8.0,1.4386963844299316,7.880929946899414,0.16237258911132812,0.6929501295089722,0.09622660279273987,0.9005736112594604,-0.13901299238204956,-0.03947430104017258,1.6560276746749878,0.01215194072574377,0,2,0,0,0,8,20,0.9673463702201843,0.18070315376278212,29.62446676657473
1,64,64,8.0,8.0,3,0.0,1.0,6.701192855834961,8.0,1.298807144165039,7.7772603034973145,0.23655913770198822,0.6298811435699463,0.06423971801996231,0.9083872437477112,-0.026407429948449135,0.007151132449507713,2.9133875370025635,0.008120838552713394,0,2,0,0,0,8,20,0.9673463702201843,0.18070315376278212,29.62446676657473
2,32,32,16.0,16.0,2,0.0,0.5,8.41900634765625,8.0,-0.41900634765625,15.403521537780762,0.1307339370250702,0.48394492268562317,0.10531232506036758,0.8978728652000427,-0.02084331214427948,-0.2545086145401001,2.715791940689087,0.013732487335801125,0,2,0,0,0,8,20,0.9673463702201843,0.18070315376278212,29.62446676657473
3,16,16,32.0,32.0,1,0.0,0.25,8.359089851379395,8.0,-0.35908985137939453,9.201194763183594,0.10576923191547394,0.4711538553237915,0.39594849944114685,0.7301003932952881,0.052339665591716766,0.5574834942817688,1.9093109369277954,0.11565154045820236,0,2,0,0,0,8,20,0.9673463702201843,0.18070315376278212,29.62446676657473
0,128,128,4.0,4.0,3,0.0,2.0,6.872260570526123,8.0,1.127739429473877,8.084744453430176,0.1282559484243393,0.6463759541511536,0.1709779053926468,0.8266823887825012,-0.234715074300766,-0.00783229898661375,1.3630467653274536,0.039066385477781296,0,2,0,0,0,8,40,0.9340746998786926,0.2567592259711564,14.168683315205648
1,64,64,8.0,8.0,3,0.0,1.0,6.853995323181152,8.0,1.1460046768188477,8.588326454162598,0.22014714777469635,0.6202603578567505,0.0724768340587616,0.9062308669090271,-0.053210459649562836,0.010061513632535934,2.6997225284576416,0.008675869554281235,0,2,0,0,0,8,40,0.9340746998786926,0.2567592259711564,14.168683315205648
2,32,32,16.0,16.0,2,0.0,0.5,8.397913932800293,8.0,-0.39791393280029297,14.569794654846191,0.13302752375602722,0.4862385094165802,0.10141640901565552,0.9060924649238586,-0.013565266504883766,-0.21697036921977997,2.541719436645508,0.012166784144937992,0,2,0,0,0,8,40,0.9340746998786926,0.2567592259711564,14.168683315205648
3,16,16,32.0,32.0,1,0.0,0.25,8.228856086730957,8.0,-0.22885608673095703,9.201194763183594,0.10576923191547394,0.46153849363327026,0.39642342925071716,0.7322026491165161,0.053848881274461746,0.5195742845535278,1.9272342920303345,0.11469393968582153,0,2,0,0,0,8,40,0.9340746998786926,0.2567592259711564,14.168683315205648
0,128,128,4.0,4.0,3,2.0,0.0,7.822743892669678,8.0,0.17725610733032227,7.159517765045166,0.02042577601969242,0.5069044828414917,0.03867259621620178,0.9630606174468994,-0.02323462814092636,0.38148608803749084,0.03930364549160004,0.002259906381368637,0,2,0,1,8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
